Chromosme	Start	End	ATAC	tissue
chrX	62908599	62908874	2.90179	Adipose
chrX	62908501	62909345	2.8343	Adipose
chrX	66375069	66375472	3.29865	Adipose
chrX	17371208	17371439	4.27136	Adipose
chrX	20112495	20112741	2.73279	Adipose
chrX	66375154	66375592	3.36427	Adipose
chrX	17370991	17371319	3.48205	Adipose
chrX	62908501	62909328	2.69679	Adipose
chrX	20112488	20112761	2.71084	Adipose
chrX	62908501	62909262	3.02724	Adipose
chrX	66375154	66375597	3.35648	Adipose
chrX	62901322	62901722	2.43902	Adipose
chrX	62899135	62899355	3.35968	Adipose
chrX	20112342	20112738	3.1768	Adipose
chrX	20111674	20111960	2.12202	Adipose
chrX	148068316	148068516	2.71186	Adipose
chrX	148068312	148068535	3.02013	Adipose
chrX	148067892	148068092	2.56696	Adipose
chrX	20102107	20102319	2.62439	Adipose
chrX	62899128	62899328	2.91411	Adipose
chrX	20096747	20097051	2.90909	Adipose
chrX	62899050	62899250	3.07692	Adipose
chrX	20096741	20097047	2.81307	Adipose
chrX	138165854	138166871	5.44148	Adipose
chrX	76568399	76569103	2.23334	Adipose
chrX	62898310	62898551	2.15385	Adipose
chrX	76568653	76569208	2.29006	Adipose
chrX	76569808	76570008	2.1519	Adipose
chrX	17370889	17371109	3.04261	Adipose
chrX	20083939	20084180	4.1841	Adipose
chrX	62898266	62898614	3.37838	Adipose
chrX	138159898	138160207	4.34783	Adipose
chrX	62898260	62898633	3.11804	Adipose
chrX	20083939	20084171	3.9916	Adipose
chrX	20083898	20084189	3.21429	Adipose
chrX	62894656	62894888	2.73753	Adipose
chrX	148058599	148058885	2.87081	Adipose
chrX	148058491	148058735	2.64624	Adipose
chrX	148058450	148058799	2.58152	Adipose
chrX	20083898	20084179	2.82686	Adipose
chrX	148053509	148053854	3.54331	Adipose
chrX	148053484	148053852	3.83142	Adipose
chrX	148053484	148053754	2.35988	Adipose
chrX	20083814	20084203	3.62117	Adipose
chrX	148048182	148048395	2.35732	Adipose
chrX	148048169	148048395	2.61845	Adipose
chrX	22419348	22419586	2.51397	Adipose
chrX	148040859	148041152	2.97398	Adipose
chrX	148039684	148039892	2.78552	Adipose
chrX	62893310	62893534	2.43464	Adipose
chrX	20083814	20084170	3.66197	Adipose
chrX	62885078	62885299	3.03542	Adipose
chrX	20083779	20084139	4.6875	Adipose
chrX	62869352	62869552	2.66046	Adipose
chrX	62857839	62858092	2.381	Adipose
chrX	62850787	62851040	3.49345	Adipose
chrX	148027284	148027490	2.28519	Adipose
chrX	148027271	148027484	2.14153	Adipose
chrX	138159883	138160317	4.47761	Adipose
chrX	20083629	20084167	4.0	Adipose
chrX	62850715	62851019	3.95349	Adipose
chrX	66375164	66375499	3.88889	Adipose
chrX	66375207	66375765	3.42262	Adipose
chrX	138159882	138160297	3.18086	Adipose
chrX	22432027	22432283	4.00844	Adipose
chrX	20083584	20084242	3.18584	Adipose
chrX	66375226	66375499	4.16667	Adipose
chrX	66375232	66375499	4.5302	Adipose
chrX	22432027	22432361	4.54545	Adipose
chrX	138159876	138160336	4.58861	Adipose
chrX	138159866	138160278	5.91398	Adipose
chrX	138159864	138160539	5.51676	Adipose
chrX	62848280	62848569	2.67327	Adipose
chrX	138159864	138160473	5.6338	Adipose
chrX	17361265	17361506	2.17129	Adipose
chrX	138159860	138160434	6.4224	Adipose
chrX	138159854	138160299	4.96454	Adipose
chrX	17361191	17361465	2.55363	Adipose
chrX	138159846	138160292	4.81928	Adipose
chrX	138159831	138160427	6.15672	Adipose
chrX	138159831	138160278	5.77957	Adipose
chrX	138159823	138160401	6.39313	Adipose
chrX	17361191	17361415	3.0	Adipose
chrX	17361190	17361492	2.08024	Adipose
chrX	17361185	17361492	2.24888	Adipose
chrX	17361124	17361392	3.25077	Adipose
chrX	17360971	17361462	3.89049	Adipose
chrX	66390074	66390274	2.47148	Adipose
chrX	17357946	17358233	3.04778	Adipose
chrX	17357946	17358230	2.92208	Adipose
chrX	79024663	79025034	2.53623	Adipose
chrX	58813242	58813925	3.21976	Adipose
chrX	17338364	17338705	2.81532	Adipose
chrX	17337923	17338137	3.13901	Adipose
chrX	58813229	58814295	4.00146	Adipose
chrX	62838315	62838551	2.55814	Adipose
chrX	20083584	20084192	2.95263	Adipose
chrX	20083550	20084146	3.7988	Adipose
chrX	20083513	20084167	3.13688	Adipose
chrX	20083499	20084170	2.77732	Adipose
chrX	148027200	148027431	3.4413	Adipose
chrX	62838193	62838543	3.125	Adipose
chrX	17337421	17337628	2.44755	Adipose
chrX	58813228	58814295	4.08361	Adipose
chrX	58813216	58813840	3.11021	Adipose
chrX	58813192	58813830	3.46118	Adipose
chrX	58813158	58814302	4.39185	Adipose
chrX	62837785	62838025	3.52423	Adipose
chrX	138159438	138159763	4.59976	Adipose
chrX	17337324	17337586	2.96804	Adipose
chrX	138159430	138159756	3.82263	Adipose
chrX	62837718	62838115	3.60169	Adipose
chrX	138159429	138159764	3.407	Adipose
chrX	138159429	138159763	3.22165	Adipose
chrX	138159429	138159737	4.41696	Adipose
chrX	58813143	58814234	3.39867	Adipose
chrX	138159424	138159761	3.81471	Adipose
chrX	17327122	17327382	3.44828	Adipose
chrX	58813010	58814205	3.20038	Adipose
chrX	58812596	58813812	2.74443	Adipose
chrX	17325921	17326359	2.73556	Adipose
chrX	138159424	138159755	3.71389	Adipose
chrX	138159423	138159769	3.56473	Adipose
chrX	17325921	17326322	2.70062	Adipose
chrX	17325915	17326267	3.69718	Adipose
chrX	148026574	148026778	2.16285	Adipose
chrX	62837708	62838007	2.26782	Adipose
chrX	138159423	138159764	3.23834	Adipose
chrX	138159422	138159753	3.76471	Adipose
chrX	148026538	148026778	2.69923	Adipose
chrX	138159422	138159747	4.54545	Adipose
chrX	17325915	17326261	3.55872	Adipose
chrX	62837654	62837994	3.97196	Adipose
chrX	21254076	21254602	4.23078	Adipose
chrX	138159421	138159765	3.89233	Adipose
chrX	62837443	62837881	2.86195	Adipose
chrX	62837443	62837812	2.39726	Adipose
chrX	148007018	148007218	3.19831	Adipose
chrX	76571077	76571282	2.51866	Adipose
chrX	62823486	62823695	2.68139	Adipose
chrX	62823329	62823633	2.48139	Adipose
chrX	17325898	17326326	3.01811	Adipose
chrX	62823314	62823652	3.13283	Adipose
chrX	147997593	147997853	2.36626	Adipose
chrX	138159421	138159753	3.59629	Adipose
chrX	66391619	66391819	2.58621	Adipose
chrX	17325897	17326473	3.08765	Adipose
chrX	17319221	17319537	2.36512	Adipose
chrX	62823310	62823652	2.75689	Adipose
chrX	62823303	62823652	3.1407	Adipose
chrX	147991696	147991935	2.80636	Adipose
chrX	147991215	147991415	3.01784	Adipose
chrX	147991200	147991415	2.96418	Adipose
chrX	147991175	147991389	3.49794	Adipose
chrX	147991067	147991326	2.74883	Adipose
chrX	147990989	147991398	3.1977	Adipose
chrX	62823263	62823695	2.98165	Adipose
chrX	17319214	17319441	2.91878	Adipose
chrX	147966418	147966665	3.1773	Adipose
chrX	58797878	58798081	2.28758	Adipose
chrX	66404283	66405160	4.14513	Adipose
chrX	66404320	66405177	3.96705	Adipose
chrX	17319210	17319441	2.93367	Adipose
chrX	17317611	17317982	2.39437	Adipose
chrX	66404456	66405173	4.14028	Adipose
chrX	17317610	17317990	2.40113	Adipose
chrX	17317495	17317720	2.46479	Adipose
