Chromosome	Start	End
chr1	138350000	138810000
chr1	138830000	139210000
chr1	139230000	139530000
chr1	139550000	139830000
chr1	139850000	140230000
chr1	140250000	140490000
chr1	140510000	141310000
chr1	141330000	141750000
chr1	141770000	142050000
chr1	142070000	142390000
chr1	142410000	142850000
chr1	142870000	143090000
chr1	143110000	143270000
chr1	143290000	143770000
chr1	143790000	144350000
chr1	144370000	144990000
chr1	145010000	145290000
chr1	145310000	145570000
chr1	145590000	146450000
chr1	146470000	146830000
chr1	146850000	147890000
chr1	147910000	148330000
chr1	148350000	148670000
chr1	148690000	149210000
chr1	149230000	149810000
chr1	149830000	150430000
chr1	150450000	150670000
chr1	150690000	151030000
chr1	151050000	151470000
chr1	151490000	152190000
chr1	152210000	152450000
chr1	152470000	152850000
chr1	152870000	153270000
chr1	153290000	153630000
chr1	153650000	154190000
chr1	154210000	154370000
chr1	154390000	154790000
chr1	154810000	155530000
chr1	155550000	156210000
chr1	156230000	157110000
chr2	710000	1350000
chr2	1370000	2010000
chr2	2030000	2250000
chr2	2270000	4450000
chr2	4470000	4790000
chr2	4810000	5330000
chr2	5350000	5450000
chr2	5470000	5790000
chr2	5810000	6250000
chr2	6270000	6570000
chr2	6590000	6950000
chr2	6970000	7370000
chr2	7390000	7910000
chr2	7930000	8850000
chr2	8870000	9490000
chr2	9510000	9890000
chr2	9910000	11450000
chr2	11470000	11910000
chr2	11930000	12190000
chr2	12210000	13350000
chr2	13370000	13830000
chr2	13850000	14430000
chr2	14450000	14890000
chr2	14910000	15610000
chr2	15630000	16730000
chr2	16750000	17030000
chr2	17050000	17530000
chr2	17550000	17710000
chr2	17730000	18130000
chr2	18150000	18810000
chr2	18830000	19070000
chr2	19090000	19710000
chr2	19730000	20230000
chr2	20250000	20790000
chr2	20810000	21670000
chr2	21690000	22110000
chr2	22130000	22390000
chr2	22410000	23330000
chr2	23350000	23690000
chr2	23710000	24050000
chr2	24070000	24430000
chr2	24450000	24890000
chr2	24910000	25550000
chr2	25570000	26310000
chr2	26330000	26810000
chr2	26830000	27310000
chr2	27330000	28010000
chr2	28030000	29190000
chr2	29210000	29770000
chr2	29790000	30350000
chr2	30370000	30950000
chr2	30970000	31270000
chr2	31290000	31750000
chr2	31770000	32230000
chr2	32250000	33210000
chr2	33230000	33490000
chr2	33510000	34090000
chr2	34110000	34870000
chr2	34890000	35210000
chr2	35230000	36330000
chr2	36350000	36470000
chr2	36490000	37230000
chr2	37250000	37510000
chr2	37530000	37930000
chr2	37950000	38330000
chr2	38350000	39070000
chr2	39090000	39630000
chr2	39650000	39910000
chr2	39930000	40770000
chr2	40790000	41670000
chr2	41690000	42590000
chr2	42610000	42930000
chr2	42950000	43450000
chr2	43470000	44130000
chr2	44150000	44670000
chr2	44690000	44850000
chr2	44870000	45550000
chr2	45570000	45690000
chr2	45710000	46070000
chr2	46090000	46550000
chr2	46570000	47210000
chr2	47230000	47710000
chr2	47730000	48270000
chr2	48290000	49290000
chr2	49310000	49650000
chr2	49670000	50630000
chr2	50650000	51530000
chr2	51550000	52170000
chr2	52190000	52810000
chr2	52830000	53470000
chr2	53490000	53750000
chr2	53770000	54090000
chr2	54110000	54590000
chr2	54610000	55610000
chr2	55630000	56050000
chr2	56070000	56610000
chr2	56630000	57150000
chr2	57170000	58230000
chr2	58250000	58630000
chr2	58650000	59290000
chr2	59310000	60190000
chr2	60210000	60530000
chr2	60550000	60950000
chr2	60970000	61550000
chr2	61570000	62330000
chr2	62350000	62770000
chr2	62790000	63430000
chr2	63450000	64230000
chr2	64250000	64910000
chr2	64930000	65290000
chr2	65310000	65630000
chr2	65650000	66350000
chr2	66370000	66930000
chr2	66950000	67270000
chr2	67290000	67510000
chr2	67530000	68170000
chr2	68190000	68870000
chr2	68890000	68950000
chr2	68970000	69490000
chr2	69510000	70630000
chr2	70650000	71410000
chr2	71430000	71950000
chr2	71970000	72450000
chr2	72470000	72830000
chr2	72850000	73110000
chr2	73130000	73430000
chr2	73450000	73950000
chr2	73970000	75290000
chr2	75310000	75850000
chr2	75870000	76430000
chr2	76450000	76910000
chr2	76930000	77450000
chr2	77470000	78050000
chr2	78070000	79310000
chr2	79330000	79550000
chr2	79570000	80090000
chr2	80110000	80390000
chr2	80410000	80890000
chr2	80910000	81910000
chr2	81930000	82770000
chr2	82790000	83930000
chr2	83950000	84590000
chr2	84610000	84870000
chr2	84890000	85370000
chr2	85390000	85950000
chr2	85970000	86270000
chr2	86290000	86850000
chr2	86870000	88090000
chr2	88110000	88470000
chr2	88490000	89090000
chr2	89110000	89510000
chr2	89530000	89810000
chr2	89830000	90250000
chr2	90270000	90730000
chr2	90750000	91190000
chr2	91210000	91630000
chr2	91650000	92110000
chr2	92130000	93090000
chr2	93110000	94030000
chr2	94050000	94350000
chr2	94370000	94630000
chr2	94650000	94950000
chr2	94970000	95450000
chr2	95470000	95830000
chr2	95850000	96570000
chr2	96590000	97090000
chr2	97110000	97770000
chr2	97790000	98030000
chr2	98050000	98190000
chr2	98210000	98830000
chr2	98850000	99470000
chr2	99490000	99890000
chr2	99910000	100590000
chr2	100610000	101290000
chr2	101310000	101770000
chr2	101790000	102470000
chr2	102490000	103310000
chr2	103330000	103970000
chr2	103990000	104470000
chr2	104490000	104650000
chr2	104670000	105290000
chr2	105310000	105570000
chr2	105590000	105870000
chr2	105890000	106210000
chr2	106230000	106830000
chr2	106850000	107310000
chr2	107330000	107630000
chr2	107650000	107950000
chr2	107970000	108650000
chr2	108670000	109150000
chr2	109170000	109690000
chr2	109710000	110150000
chr2	110170000	110810000
chr2	110830000	111110000
chr2	111130000	111610000
chr2	111630000	112050000
chr2	112070000	112450000
chr2	112470000	112850000
chr2	112870000	113170000
chr2	113190000	113810000
chr2	113830000	115230000
chr2	115250000	115970000
chr2	115990000	116650000
chr2	116670000	117790000
chr2	117810000	117970000
chr2	117990000	118470000
chr2	118490000	118830000
chr2	118850000	119230000
chr2	119250000	119490000
chr2	119510000	120170000
chr2	120190000	120590000
chr2	120610000	120850000
chr2	120870000	121330000
chr2	121350000	121730000
chr2	121750000	122230000
chr2	122250000	122850000
chr2	122870000	123130000
chr2	123150000	123830000
chr2	123850000	124330000
chr2	124350000	124830000
chr2	124850000	125130000
chr2	125150000	125530000
chr2	125550000	125890000
chr2	125910000	126270000
chr2	126290000	126650000
chr2	126670000	127230000
chr2	127250000	127710000
chr2	127730000	128290000
chr2	128310000	128790000
chr2	128810000	129110000
chr2	129130000	129370000
chr2	129390000	129870000
chr2	129890000	130150000
chr2	130170000	130410000
chr2	130430000	130730000
chr2	130750000	131070000
chr2	131090000	131450000
chr2	131470000	131970000
chr2	131990000	132450000
chr2	132470000	132790000
chr2	132810000	133010000
chr2	133030000	133390000
chr2	133410000	133790000
chr2	133810000	134050000
chr2	134070000	134290000
chr2	134310000	135010000
chr2	135030000	135210000
chr2	135230000	135550000
chr2	135570000	135750000
chr3	890000	1130000
chr3	1150000	1810000
chr3	1830000	2150000
chr3	2170000	2950000
chr3	2970000	3230000
chr3	3250000	3910000
chr3	3930000	5950000
chr3	5970000	6570000
chr3	6590000	6990000
chr3	7010000	7490000
chr3	7510000	8090000
chr3	8110000	8370000
chr3	8390000	8550000
chr3	8570000	8930000
chr3	8950000	9270000
chr3	9290000	9630000
chr3	9650000	9930000
chr3	9950000	10730000
chr3	10750000	11070000
chr3	11090000	11950000
chr3	11970000	12170000
chr3	12190000	12510000
chr3	12530000	12870000
chr3	12890000	13290000
chr3	13310000	13690000
chr3	13710000	14190000
chr3	14210000	14470000
chr3	14490000	14690000
chr3	14710000	15030000
chr3	15050000	15470000
chr3	15490000	16110000
chr3	16130000	16350000
chr3	16370000	16850000
chr3	16870000	17170000
chr3	17190000	17890000
chr3	17910000	18230000
chr3	18250000	18710000
chr3	18730000	18850000
chr3	18870000	19510000
chr3	19530000	19750000
chr3	19770000	20410000
chr3	20430000	20770000
chr3	20790000	21330000
chr3	21350000	21510000
chr3	21530000	22410000
chr3	22430000	22570000
chr3	22590000	22810000
chr3	22830000	23570000
chr3	23590000	24110000
chr3	24130000	25250000
chr3	25270000	26070000
chr3	26090000	26510000
chr3	26530000	26710000
chr3	26730000	27250000
chr3	27270000	27690000
chr3	27710000	28550000
chr3	28570000	29010000
chr3	29030000	29430000
chr3	29450000	29570000
chr3	29590000	30230000
chr3	30250000	30610000
chr3	30630000	30890000
chr3	30910000	31530000
chr3	31550000	31850000
chr3	31870000	32590000
chr3	32610000	32910000
chr3	32930000	33250000
chr3	33270000	33970000
chr3	33990000	34290000
chr3	34310000	34690000
chr3	34710000	35030000
chr3	35050000	35530000
chr3	35550000	35910000
chr3	35930000	37170000
chr3	37190000	37530000
chr3	37550000	38770000
chr3	38790000	39850000
chr3	39870000	40550000
chr3	40570000	41130000
chr3	41150000	41550000
chr3	41570000	41850000
chr3	41870000	42390000
chr3	42410000	42830000
chr3	42850000	43470000
chr3	43490000	44050000
chr3	44070000	44710000
chr3	44730000	45230000
chr3	45250000	46470000
chr3	46490000	47270000
chr3	47290000	47690000
chr3	47710000	48230000
chr3	48250000	48670000
chr3	48690000	49090000
chr3	49110000	49590000
chr3	49610000	50210000
chr3	50230000	50450000
chr3	50470000	50630000
chr3	50650000	51110000
chr3	51130000	51930000
chr3	51950000	52130000
chr3	52150000	52530000
chr3	52550000	53210000
chr3	53230000	53830000
chr3	53850000	54470000
chr3	54490000	54970000
chr3	54990000	55250000
chr3	55270000	56930000
chr3	56950000	57250000
chr3	57270000	57690000
chr3	57710000	58370000
chr3	58390000	58830000
chr3	58850000	59130000
chr3	59150000	59610000
chr3	59630000	60230000
chr3	60250000	60950000
chr3	60970000	61470000
chr3	61490000	62010000
chr3	62030000	62630000
chr3	62650000	63150000
chr3	63170000	64330000
chr3	64350000	65110000
chr3	65130000	66010000
chr3	66030000	66550000
chr3	66570000	67050000
chr3	67070000	67490000
chr3	67510000	68650000
chr3	68670000	69150000
chr3	69170000	69530000
chr3	69550000	69970000
chr3	69990000	70810000
chr3	70830000	71310000
chr3	71330000	73030000
chr3	73050000	74150000
chr3	74170000	74690000
chr3	74710000	75030000
chr3	75050000	76490000
chr3	76510000	76750000
chr3	76770000	76930000
chr3	76950000	77190000
chr3	77210000	77550000
chr3	77570000	77830000
chr3	77850000	78570000
chr3	78590000	79110000
chr3	79130000	79670000
chr3	79690000	80290000
chr3	80310000	80610000
chr3	80630000	81230000
chr3	81250000	81990000
chr3	82010000	82790000
chr3	82810000	83110000
chr3	83130000	83550000
chr3	83570000	83790000
chr3	83810000	84690000
chr3	84710000	85790000
chr3	85810000	86170000
chr3	86190000	87370000
chr3	87390000	88850000
chr3	88870000	89450000
chr3	89470000	89810000
chr3	89830000	91290000
chr3	91310000	92410000
chr3	92430000	92790000
chr3	92810000	92970000
chr3	92990000	93530000
chr3	93550000	93950000
chr3	93970000	94210000
chr3	94230000	94530000
chr3	94550000	94690000
chr3	94710000	94950000
chr3	94970000	95530000
chr3	95550000	95910000
chr3	95930000	97690000
chr3	97710000	97970000
chr3	97990000	98510000
chr3	98530000	99070000
chr3	99090000	99330000
chr3	99350000	99770000
chr3	99790000	100090000
chr3	100110000	100730000
chr3	100750000	101030000
chr3	101050000	101330000
chr3	101350000	101890000
chr3	101910000	102370000
chr3	102390000	102570000
chr3	102590000	102810000
chr3	102830000	103170000
chr3	103190000	103470000
chr3	103490000	104050000
chr3	104070000	104690000
chr3	104710000	105210000
chr3	105230000	105710000
chr3	105730000	106050000
chr3	106070000	106330000
chr3	106350000	106490000
chr3	106510000	107130000
chr3	107150000	107930000
chr3	107950000	108430000
chr3	108450000	109430000
chr3	109450000	109950000
chr3	109970000	110270000
chr3	110290000	110890000
chr3	110910000	111690000
chr3	111710000	112330000
chr3	112350000	112950000
chr3	112970000	113450000
chr3	113470000	114150000
chr3	114170000	114690000
chr3	114710000	115270000
chr3	115290000	115730000
chr3	115750000	116550000
chr3	116570000	117050000
chr3	117070000	117310000
chr3	117330000	117630000
chr3	117650000	118030000
chr3	118050000	118250000
chr3	118270000	118930000
chr3	118950000	119330000
chr3	119350000	119630000
chr3	119650000	119910000
chr3	119930000	120350000
chr4	1070000	2130000
chr4	2150000	3290000
chr4	3310000	3810000
chr4	3830000	4510000
chr4	4530000	5470000
chr4	5490000	5970000
chr4	5990000	6690000
chr4	6710000	7490000
chr4	7510000	7730000
chr4	7750000	8430000
chr4	8450000	9250000
chr4	9270000	9870000
chr4	9890000	10590000
chr4	10610000	10810000
chr4	10830000	11630000
chr4	11650000	11830000
chr4	11850000	12510000
chr4	12530000	12770000
chr4	12790000	13170000
chr4	13190000	14450000
chr4	14470000	15110000
chr4	15130000	15610000
chr4	15630000	16430000
chr4	16450000	16870000
chr4	16890000	18490000
chr4	18510000	19010000
chr4	19030000	19490000
chr4	19510000	20530000
chr4	20550000	21390000
chr4	21410000	22190000
chr4	22210000	22990000
chr4	23010000	23370000
chr4	23390000	23650000
chr4	23670000	24050000
chr4	24070000	24550000
chr4	24570000	25130000
chr4	25150000	25390000
chr4	25410000	25810000
chr4	25830000	26230000
chr4	26250000	26930000
chr4	26950000	27190000
chr4	27210000	27810000
chr4	27830000	28370000
chr4	28390000	29010000
chr4	29030000	29390000
chr4	29410000	30010000
chr4	30030000	30550000
chr4	30570000	30850000
chr4	30870000	31270000
chr4	31290000	31810000
chr4	31830000	32130000
chr4	32150000	32430000
chr4	32450000	32670000
chr4	32690000	32970000
chr4	32990000	33190000
chr4	33210000	33590000
chr4	33610000	33990000
chr4	34010000	34650000
chr4	34670000	34970000
chr4	34990000	35570000
chr4	35590000	36090000
chr4	36110000	36690000
chr4	36710000	37250000
chr4	37270000	37890000
chr4	37910000	38570000
chr4	38590000	39010000
chr4	39030000	39290000
chr4	39310000	40190000
chr4	40210000	40670000
chr4	40690000	41250000
chr4	41270000	41990000
chr4	42010000	42910000
chr4	42930000	43230000
chr4	43250000	43610000
chr4	43630000	43870000
chr4	43890000	44050000
chr4	44070000	44590000
chr4	44610000	45410000
chr4	45430000	46090000
chr4	46110000	46670000
chr4	46690000	47230000
chr4	47250000	47550000
chr4	47570000	47910000
chr4	47930000	48270000
chr4	48290000	48750000
chr4	48770000	48910000
chr4	48930000	49250000
chr4	49270000	49650000
chr4	49670000	50090000
chr4	50110000	50650000
chr4	50670000	51030000
chr4	51050000	51210000
chr4	51230000	51510000
chr4	51530000	51830000
chr4	51850000	52290000
chr4	52310000	52530000
chr4	52550000	53210000
chr4	53230000	53590000
chr4	53610000	53790000
chr4	53810000	54490000
chr4	54510000	54690000
chr4	54710000	55850000
chr4	55870000	56570000
chr4	56590000	57270000
chr4	57290000	57690000
chr4	57710000	58870000
chr4	58890000	59570000
chr4	59590000	60110000
chr4	60130000	60330000
chr4	60350000	60810000
chr4	60830000	61190000
chr4	61210000	61430000
chr4	61450000	61950000
chr4	61970000	62270000
chr4	62290000	62690000
chr4	62710000	63710000
chr4	63730000	64010000
chr4	64030000	64810000
chr4	64830000	65230000
chr4	65250000	65410000
chr4	65430000	65590000
chr4	65610000	65730000
chr4	65750000	66350000
chr4	66370000	66730000
chr4	66750000	67030000
chr4	67050000	67250000
chr4	67270000	67990000
chr4	68010000	68530000
chr4	68550000	68850000
chr4	68870000	69270000
chr4	69290000	69590000
chr4	69610000	70030000
chr4	70050000	70690000
chr4	70710000	71050000
chr4	71070000	71970000
chr4	71990000	72310000
chr4	72330000	72870000
chr4	72890000	73330000
chr4	73350000	74330000
chr4	74350000	75050000
chr4	75070000	75750000
chr4	75770000	76150000
chr4	76170000	76530000
chr4	76550000	76870000
chr4	76890000	77350000
chr4	77370000	77630000
chr4	77650000	78130000
chr4	78150000	79090000
chr4	79110000	79250000
chr4	79270000	80250000
chr4	80270000	80910000
chr4	80930000	81290000
chr4	81310000	82190000
chr4	82210000	82490000
chr4	82510000	82790000
chr4	82810000	83750000
chr4	83770000	84430000
chr4	84450000	85210000
chr4	85230000	85630000
chr4	85650000	86090000
chr4	86110000	86450000
chr4	86470000	86970000
chr4	86990000	87850000
chr4	87870000	88230000
chr4	88250000	88630000
chr4	88650000	89290000
chr4	89310000	90570000
chr4	90590000	91050000
chr4	91070000	91610000
chr4	91630000	91790000
chr4	91810000	92310000
chr4	92330000	92550000
chr4	92570000	92850000
chr4	92870000	93150000
chr4	93170000	93410000
chr4	93430000	93830000
chr4	93850000	94590000
chr4	94610000	94810000
chr4	94830000	95210000
chr4	95230000	95950000
chr4	95970000	96470000
chr4	96490000	96770000
chr4	96790000	97050000
chr4	97070000	97790000
chr4	97810000	98290000
chr4	98310000	98870000
chr4	98890000	99090000
chr4	99110000	99470000
chr4	99490000	100170000
chr4	100190000	100770000
chr4	100790000	101270000
chr4	101290000	101750000
chr4	101770000	102510000
chr4	102530000	102930000
chr4	102950000	103490000
chr4	103510000	103810000
chr4	103830000	103990000
chr4	104010000	104270000
chr4	104290000	104990000
chr4	105010000	105610000
chr4	105630000	106010000
chr4	106030000	106610000
chr4	106630000	106970000
chr4	106990000	107210000
chr4	107230000	107710000
chr4	107730000	108230000
chr4	108250000	108450000
chr4	108470000	108770000
chr4	108790000	109430000
chr4	109450000	110290000
chr4	110310000	111190000
chr4	111210000	111570000
chr4	111590000	112170000
chr4	112190000	112670000
chr4	112690000	113450000
chr4	113470000	113890000
chr4	113910000	114310000
chr4	114330000	114610000
chr4	114630000	115170000
chr4	115190000	116110000
chr4	116130000	116810000
chr4	116830000	117450000
chr4	117470000	118250000
chr4	118270000	118670000
chr4	118690000	119410000
chr4	119430000	119530000
chr5	570000	1050000
chr5	1070000	1390000
chr5	1410000	1470000
chr5	1490000	1910000
chr5	1930000	2150000
chr5	2170000	3570000
chr5	3590000	4150000
chr5	4170000	5030000
chr5	5050000	5590000
chr5	5610000	6010000
chr5	6030000	6470000
chr5	6490000	7170000
chr5	7190000	7610000
chr5	7630000	7890000
chr5	7910000	8810000
chr5	8830000	9350000
chr5	9370000	9950000
chr5	9970000	10330000
chr5	10350000	10830000
chr5	10850000	11210000
chr5	11230000	11910000
chr5	11930000	13010000
chr5	13030000	13290000
chr5	13310000	14490000
chr5	14510000	14710000
chr5	14730000	15090000
chr5	15110000	15570000
chr5	15590000	16010000
chr5	16030000	16830000
chr5	16850000	17830000
chr5	17850000	18830000
chr5	18850000	19390000
chr5	19410000	20030000
chr5	20050000	20810000
chr5	20830000	21210000
chr5	21230000	22010000
chr5	22030000	22530000
chr5	22550000	23270000
chr5	23290000	23870000
chr5	23890000	24270000
chr5	24290000	24710000
chr5	24730000	25150000
chr5	25170000	25570000
chr5	25590000	26050000
chr5	26070000	26350000
chr5	26370000	26510000
chr5	26530000	26710000
chr5	26730000	26930000
chr5	26950000	27550000
chr5	27570000	27890000
chr5	27910000	28410000
chr5	28430000	28830000
chr5	28850000	29130000
chr5	29150000	29450000
chr5	29470000	29810000
chr5	29830000	30030000
chr5	30050000	30210000
chr5	30230000	30550000
chr5	30570000	30810000
chr5	30830000	30950000
chr5	30970000	31130000
chr5	31150000	32050000
chr5	32070000	32590000
chr5	32610000	33230000
chr5	33250000	33550000
chr5	33570000	34150000
chr5	34170000	34510000
chr5	34530000	34770000
chr5	34790000	35210000
chr5	35230000	35390000
chr5	35410000	36510000
chr5	36530000	37090000
chr5	37110000	38250000
chr5	38270000	38630000
chr5	38650000	39530000
chr5	39550000	39930000
chr5	39950000	40530000
chr5	40550000	40750000
chr5	40770000	41430000
chr5	41450000	41890000
chr5	41910000	42490000
chr5	42510000	42790000
chr5	42810000	44110000
chr5	44130000	44650000
chr5	44670000	44970000
chr5	44990000	45450000
chr5	45470000	45750000
chr5	45770000	46530000
chr5	46550000	46910000
chr5	46930000	47650000
chr5	47670000	48550000
chr5	48570000	49010000
chr5	49030000	49290000
chr5	49310000	49930000
chr5	49950000	50470000
chr5	50490000	50750000
chr5	50770000	51290000
chr5	51310000	52550000
chr5	52570000	53370000
chr5	53390000	54130000
chr5	54150000	54570000
chr5	54590000	54910000
chr5	54930000	55190000
chr5	55210000	55530000
chr5	55550000	55710000
chr5	55730000	55950000
chr5	55970000	56190000
chr5	56210000	56410000
chr5	56430000	56770000
chr5	56790000	57190000
chr5	57210000	57590000
chr5	57610000	58270000
chr5	58290000	58590000
chr5	58610000	58970000
chr5	58990000	59370000
chr5	59390000	60250000
chr5	60270000	60790000
chr5	60810000	61170000
chr5	61190000	62590000
chr5	62610000	62870000
chr5	62890000	63170000
chr5	63190000	63870000
chr5	63890000	64530000
chr5	64550000	65290000
chr5	65310000	65670000
chr5	65690000	66650000
chr5	66670000	67250000
chr5	67270000	67590000
chr5	67610000	67950000
chr5	67970000	68630000
chr5	68650000	68870000
chr5	68890000	69690000
chr5	69710000	70330000
chr5	70350000	70890000
chr5	70910000	71570000
chr5	71590000	71770000
chr5	71790000	72410000
chr5	72430000	72790000
chr5	72810000	73510000
chr5	73530000	74270000
chr5	74290000	74650000
chr5	74670000	74930000
chr5	74950000	75450000
chr5	75470000	76030000
chr5	76050000	77110000
chr5	77130000	77470000
chr5	77490000	77790000
chr5	77810000	78310000
chr5	78330000	78990000
chr5	79010000	80170000
chr5	80190000	80570000
chr5	80590000	81210000
chr5	81230000	81590000
chr5	81610000	82130000
chr5	82150000	82530000
chr5	82550000	82910000
chr5	82930000	83830000
chr5	83850000	84590000
chr5	84610000	85190000
chr5	85210000	86150000
chr5	86170000	86650000
chr5	86670000	86970000
chr5	86990000	87530000
chr5	87550000	87730000
chr5	87750000	88150000
chr5	88170000	88510000
chr5	88530000	88750000
chr5	88770000	89150000
chr5	89170000	89430000
chr5	89450000	90330000
chr5	90350000	90770000
chr5	90790000	91230000
chr5	91250000	92010000
chr5	92030000	93110000
